,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
3237,BURGLARY AUTO,BURGLARY - VEHICLE,DWIGHT WAY & SHATTUCK AVE,37.863959,-122.267432
3273,DISTURBANCE,DISORDERLY CONDUCT,2500 DANA ST,37.864701,-122.260693
455,THEFT MISD. (UNDER $950),LARCENY,2500 DURANT AVE,37.867852,-122.258699
4719,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,37.867513,-122.26127
4401,DISTURBANCE,DISORDERLY CONDUCT,3200 ADELINE ST,37.850345,-122.270911
4721,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1300 FRANCISCO ST,37.873351,-122.287274
1471,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1300 VIRGINIA ST,37.874095,-122.288542
4495,VANDALISM,VANDALISM,1500 PORTLAND AVE,37.894747,-122.287005
929,THEFT MISD. (UNDER $950),LARCENY,2600 DURANT AVE,37.868164,-122.256314
2241,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AVE,37.881957,-122.269551
1617,ASSAULT/BATTERY MISD.,ASSAULT,2500 DURANT AVE,37.867852,-122.258699
3891,BURGLARY AUTO,BURGLARY - VEHICLE,1600 MILVIA ST,37.877951,-122.271395
4016,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2500 SHATTUCK AVE,37.863811,-122.267412
2938,ASSAULT/BATTERY MISD.,ASSAULT,GILMAN STREET & SAN PABLO AVE,37.880468,-122.295876
2920,BRANDISHING,WEAPONS OFFENSE,SAN PABLO AVENUE & CHANNING WAY,37.862877,-122.290055
163,FRAUD/FORGERY,FRAUD,1400 SHATTUCK AVE,37.881957,-122.269551
1968,THEFT MISD. (UNDER $950),LARCENY,3000 TELEGRAPH AVE,37.855435,-122.259841
3995,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 BUENA VISTA WAY,37.880968,-122.256273
4888,THEFT FELONY (OVER $950),LARCENY,100 BERKELEY SQ,37.871171,-122.267718
3295,THEFT MISD. (UNDER $950),LARCENY,2000 OREGON ST,37.857409,-122.268473
2291,VANDALISM,VANDALISM,1500 HENRY ST,37.880075,-122.270476
2104,VEHICLE STOLEN,MOTOR VEHICLE THEFT,PARKER STREET & SHATTUCK AVE,37.862169,-122.267084
577,BURGLARY AUTO,BURGLARY - VEHICLE,FOURTH STREET & HEARST AVE,37.868878,-122.300284
3398,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2200 PARKER ST,37.862491,-122.2646
5403,VANDALISM,VANDALISM,1400 ALCATRAZ AVE,37.847682,-122.279381
1104,DOMESTIC VIOLENCE,FAMILY OFFENSE,1200 ASHBY AVE,37.852211,-122.286336
3898,BURGLARY AUTO,BURGLARY - VEHICLE,2600 WEBSTER ST,37.855824,-122.25502
4133,ASSAULT/BATTERY MISD.,ASSAULT,HAROLD WAY & KITTREDGE ST,37.868325,-122.269125
