,B1_FULL_ADDRESS,Lat,Lon,DBA
51,2930 COLLEGE AVE,37.857786,-122.253124,CUGINI MANZONE RESTAURANT
156,2441 DWIGHT WAY,37.865052,-122.259002,JOSHUYA BRASSERIE
546,2016 SHATTUCK AVE,37.871885,-122.268388,LUCIA'S PIZZERIA
558,2502 TELEGRAPH AVE,37.864869,-122.258594,PEPPER KING
578,1799 UNIVERSITY AVE,37.871297,-122.275446,TOWNIE
595,1890 SHATTUCK AVE,37.874025,-122.268666,SWEETGREEN
754,1511 SHATTUCK AVE C,37.879781,-122.269181,KIRALA 2
797,2431 DURANT AVE A,37.86769,-122.259939,GENERATION 2.Y. LTD
887,2955 TELEGRAPH AVE,37.856761,-122.259551,ETHIOPIA RESTAURANT
907,2025 SHATTUCK AVE,37.871557,-122.268349,MANDARIN GARDEN
926,984 UNIVERSITY AVE,37.868545,-122.294623,DOC'S REFRESHER
962,2261 SHATTUCK AVE,37.86821,-122.267779,ANGELINE'S LOUISIANA KITCHEN
993,1300 TENTH ST,37.879996,-122.296893,T-REX RESTAURANT BAR
1009,1300 FOURTH ST,37.878644,-122.303432,GILMAN GRILL
1055,2575 TELEGRAPH AVE,37.863866,-122.258572,VAMPIRE PENGUIN LLC
1481,1936 SHATTUCK AVE,37.873227,-122.268562,THE NOODLE INC
1497,2505 HEARST AVE B,37.875072,-122.260226,MOMO
1533,1543 SHATTUCK AVE,37.878643,-122.269049,JOTMAHAL PALACE OF INDIAN CUISINE
1614,2367 SHATTUCK AVE,37.86633,-122.267572,LIQUID ENTERTAINMENT GROUP LLC
1863,2600 DURANT AVE,37.868164,-122.256314,CHS BERKELEY LLC
2214,1797 SHATTUCK AVE A,37.87518,-122.26868,VICTORY POINT CAFE
2312,1508 WALNUT ST B,37.880086,-122.26815,NICO'S HIDEAWAY INC
2464,1301 SAN PABLO AVE,37.880319,-122.295692,CRAVE ASIA
2465,3121 SACRAMENTO ST,37.850882,-122.278375,CREEKWOOD RESTAURANT
2509,1903 UNIVERSITY AVE,37.871616,-122.272924,UDUPI PALACE
2566,1699 SOLANO AVE,37.891191,-122.282546,SICHUAN STYLE
2644,2507 HEARST AVE C,37.875084,-122.26014,CAMILLE VIETNAMESE CUISINE
2708,2071 UNIVERSITY AVE,37.872122,-122.2689,TENDER GREENS
2820,1889 SOLANO AVE,37.891466,-122.277545,KHANA PEENA
3197,3105 SHATTUCK AVE,37.852811,-122.266176,LOS CILANTROS
3890,1290 SIXTH ST,37.87965,-122.301433,LAMA BEAN'S
3990,1511 SHATTUCK AVE B,37.879781,-122.269181,GUACAMOLE 61 LLC
4144,2433 DURANT AVE F,37.867712,-122.259777,T-TOUST
4311,2017 SHATTUCK AVE,37.871715,-122.268367,TAKALOK VENUS CAFE
4680,2115 KITTREDGE ST,37.868591,-122.267188,TASTY POT
4851,2512 SAN PABLO AVE,37.860716,-122.289516,LONGBRANCH
4866,2067 UNIVERSITY AVE,37.872097,-122.269089,ANH HONG
5146,2431 DURANT AVE A,37.86769,-122.259939,FAMOUS BAO
5158,1834 EUCLID AVE,37.875525,-122.26023,LA VALS PIZZA
5303,2420 SHATTUCK AVE,37.865338,-122.267595,GIO'S PIZZA & BOCCE
5395,1610 SAN PABLO AVE,37.874943,-122.294097,MOUNTAIN MIKE'S PIZZA
5615,2498 TELEGRAPH AVE,37.865121,-122.258455,HAN'S BISTRO
5738,2987 SACRAMENTO ST,37.853509,-122.278994,KAFFA ETHIOPIAN CUISINE
5768,1645 SOLANO AVE,37.891148,-122.283385,HIMALAYAN TANDOORI & CURRY HOUSE
6132,2600 DURANT AVE,37.868164,-122.256314,HOTEL DURANT/HENRY'S PUB
6170,2511 CHANNING WAY,37.866984,-122.258306,BERKELEY THAI HOUSE
6617,2501 SAN PABLO AVE,37.860897,-122.289417,CLAYPOT
