,B1_FULL_ADDRESS,Lat,Lon,DBA
381,1550   HOPKINS ST,37.88151,-122.282268,MONTEREY MARKET
1260,1915   ADDISON ST,37.870669,-122.272223,LAW OFFICE OF ZACHARY EPSTEIN
1375,2140   SHATTUCK AVE 202,37.870618,-122.268205,KRONENBERG HALE
1381,1919   ADDISON ST,37.870723,-122.271792,AMYX CAROL
1615,1915   ADDISON ST,37.870669,-122.272223,STEINHAUER ROSS E
3485,2974   SACRAMENTO ST,37.853691,-122.279172,SACRAMENTO MARKET
3582,3120   SACRAMENTO ST,37.850904,-122.27852,SOUTH BERKELEY PRODUCE AND MEA
3628,1624 UNIVERSITY AVE,37.870703,-122.279198,ANIMAL PLACE'S VEGAN REPUBLIC
3939,2039   SHATTUCK AVE,37.87174,-122.268371,PYLE WALTER K
4350,2707   COLLEGE AVE,37.861795,-122.253525,DERBY FOOD CENTER
5187,1336   GILMAN ST,37.881077,-122.288496,BERKELEY NATURAL GROCERY
6080,2441   SHATTUCK AVE,37.865051,-122.267421,"SOM MART, INC"
6160,2032   SAN PABLO AVE,37.868592,-122.292058,MI RANCHITO BAYSIDE MARKET
6573,1964   SAN PABLO AVE,37.86977,-122.29244,HALAL FOOD MARKET
6656,1936   UNIVERSITY AVE 355,37.87162,-122.272165,BLUMBERG RICHARD E ESQ
6877,3049   SACRAMENTO ST,37.852079,-122.278653,FOOD TOWN MARKET
7050,901 BANCROFT WAY,37.863763,-122.29503,FRANKLIN BROS MARKET
7909,2001   ADDISON ST 300,37.87091,-122.270297,CRAIG & WINKELMAN LLP
8030,2701 EIGHTH ST 109,37.856884,-122.291822,GUTFEEL GASTRONOMY LLC
8114,3198   ADELINE ST,37.850578,-122.270832,M & H MARKET
8314,2020   OREGON ST,37.857549,-122.26746,BERKELEY BOWL MARKET
8497,2039   SHATTUCK AVE,37.87174,-122.268371,SMITH JEREMY
8591,926   CHANNING WAY,37.862205,-122.29341,JUST RITE MARKET
9014,1801   EUCLID AVE,37.875819,-122.26029,SEVEN PALMS FOOD
9048,1919   ADDISON ST 105,37.870723,-122.271792,HONG BRIAN
9603,1920   SAN PABLO AVE,37.870095,-122.292546,INDUS FOOD CENTER
9604,2030   ADDISON ST,37.871039,-122.269287,GILLIN/JACOBSON/ELLIS/LARSEN/D
10207,3050   SHATTUCK AVE,37.853602,-122.266283,KAPLAN JANE R
10711,2440   BANCROFT WAY 102,37.868556,-122.260421,BERKELEY STUDENT FOOD COLLECTI
10804,1919   ADDISON ST 105,37.870723,-122.271792,LAW OFFICE OF MICHAEL FREUND
10882,1915   ADDISON ST,37.870669,-122.272223,ELMER MARTIN J
10898,1611   UNIVERSITY AVE,37.870781,-122.279495,SPUN SUGAR
11021,2041   BANCROFT WAY 207,37.867518,-122.268379,LAW OFFICE OF JEFFREY J CARTER
11126,2709   SAN PABLO AVE,37.857181,-122.28824,NORDIC HOUSE
11176,1601   ALCATRAZ AVE,37.848152,-122.275807,ALCATRAZ MARKET
11708,2000   CENTER ST,37.869973,-122.270557,BERKEY WILLIAMS LLP
11892,1444   SHATTUCK AVE,37.881015,-122.269494,SAFEWAY STORES 349-8500691
12131,1919   ADDISON ST,37.870723,-122.271792,"PULICH & LOWE, ATTORNEYS AT LAW"
12261,2312   TELEGRAPH AVE,37.868346,-122.259109,SAMER MARKET INC.
12362,2642   ASHBY AVE,37.856979,-122.253523,ASHBY MARKETPLACE
12557,3242   ADELINE ST,37.8498,-122.271104,J & B FINE FOODS
12562,1814   SAN PABLO AVE,37.871126,-122.292877,THE SPANISH TABLE
12647,2054 SAN PABLO AVE,37.868472,-122.29202,MIDDLE EAST MARKET
13606,1919   ADDISON ST 105,37.870723,-122.271792,NEWBURY DIRCK
13663,3068   CLAREMONT AVE,37.854643,-122.248068,STAR GROCERY
14231,3000   TELEGRAPH AVE,37.855435,-122.259841,WHOLE FOODS MARKET CALIFORNIA
14300,2082   SAN PABLO AVE,37.868162,-122.291919,MI TIERRA FOODS
14435,920   HEINZ AVE,37.853824,-122.290222,BERKELEY BOWL WEST
14601,1468   SIXTH ST,37.87535,-122.300048,OCEAN VIEW MARKET
14948,1025 GILMAN ST,37.880245,-122.296973,WHOLE FOODS MARKET
2477,2700 M L KING JR WAY,37.8596135,-122.271968,CITY LEES MARKET
8007,2700   M L KING JR WAY,37.8596135,-122.271968,CITY LEES MARKET
9283,1885   UNIVERSITY AVE,37.871738,-122.2732664,TRADER JOE'S #186
